id;user_id;interacted_user_id;location_longitude;location_latitude;location_time
1;46684;55144;23657;69615;2020-04-07T09:23:08
2;47332;21282;10507;98020;2020-04-07T11:10:23
3;3667;76710;63299;81523;2020-04-07T06:04:33
4;88192;7856;18404;8718;2020-04-07T08:50:17
5;51386;55396;94654;52683;2020-04-07T06:59:39
6;15233;14597;9260;27234;2020-04-07T07:19:39
7;67026;57479;15650;62582;2020-04-07T01:22:02
8;13820;37118;34351;39643;2020-04-07T07:49:55
9;72310;55710;66935;48430;2020-04-07T18:44:05
10;71554;82081;64077;65137;2020-04-07T12:03:18
