id;code;description_ar;description_en;spec_type
1;feed Up-sized SDD;experiences purple;microchip Colorado;9579
2;Chilean Peso Unidades de fomento Clothing;Reverse-engineered Infrastructure Computer;Village synthesize;98770
3;Operative Licensed Fresh Towels;Cheese;Gloves;32231
4;invoice facilitate Supervisor;Ball;calculate Bedfordshire;6502
5;Checking Account applications syndicate;Automotive Guinea Franc Borders;Synergistic;73971
6;Kids;Berkshire;Analyst;25626
7;input dot-com;Granite Soft;Credit Card Account multi-tasking;34781
8;calculate;Direct;Fresh;33102
9;Unbranded Frozen Hat;Grass-roots;monitor Islands Books;21649
10;Rustic Rubber Shirt world-class;sky blue;Guinea-Bissau connect fuchsia;14156
